GOID	Description	FDR	Database	Type	Genes	Enrichment
GO:0051123	RNA polymerase II preinitiation complex assembly	2.29E-02	WebGestalt	BP	PSMC3	All (Up vs. Down)
GO:0043620	regulation of DNA-templated transcription in response to stress	2.28E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:0043620	regulation of DNA-templated transcription in response to stress	2.28E-02	g:Profiler	BP	PSMA5	All (Up vs. Down)
GO:1900180	regulation of protein localization to nucleus	2.28E-02	g:Profiler	BP	RAN	All (Up vs. Down)
GO:1900180	regulation of protein localization to nucleus	2.28E-02	g:Profiler	BP	TCP1	All (Up vs. Down)
GO:0001736	establishment of planar polarity	2.28E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:0001736	establishment of planar polarity	2.28E-02	g:Profiler	BP	PSMA5	All (Up vs. Down)
GO:0007164	establishment of tissue polarity	2.28E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:0007164	establishment of tissue polarity	2.28E-02	g:Profiler	BP	PSMA5	All (Up vs. Down)
GO:0042788	polysomal ribosome	2.28E-02	STRING	CC	RPL36	All (Up vs. Down)
GO:0042788	polysomal ribosome	2.28E-02	STRING	CC	RPS26	All (Up vs. Down)
GO:0042176	regulation of protein catabolic process	2.27E-02	g:Profiler	BP	EEF1A1	All (Up vs. Down)
GO:0042176	regulation of protein catabolic process	2.27E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:0042176	regulation of protein catabolic process	2.27E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:0015379	potassium:chloride symporter activity	2.27E-02	g:Profiler	MF	SLC12A7	All (Up vs. Down)
GO:0019870	potassium channel inhibitor activity	2.27E-02	g:Profiler	MF	CAV1	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	HIST1H1E	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	NCL	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	RPS14	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	SFPQ	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	HIST1H1B	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	HIST1H1T	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	SRSF2	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	ILF3	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	ETV3	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	UBE2I	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	BASP1	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	CAV1	All (Up vs. Down)
GO:0010558	negative regulation of macromolecule biosynthetic process	2.27E-02	WebGestalt	BP	KHSRP	All (Up vs. Down)
GO:0061061	muscle structure development	2.27E-02	g:Profiler	BP	MYL6B	All (Up vs. Down)
GO:0061061	muscle structure development	2.27E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0061061	muscle structure development	2.27E-02	g:Profiler	BP	CD9	All (Up vs. Down)
GO:0061061	muscle structure development	2.27E-02	g:Profiler	BP	EHD2	All (Up vs. Down)
GO:0051153	regulation of striated muscle cell differentiation	2.27E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0051153	regulation of striated muscle cell differentiation	2.27E-02	g:Profiler	BP	EHD2	All (Up vs. Down)
GO:0007569	cell aging	2.27E-02	g:Profiler	BP	HMGA2	All (Up vs. Down)
GO:0007569	cell aging	2.27E-02	g:Profiler	BP	HMGA1	All (Up vs. Down)
GO:0006096	glycolytic process	2.27E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0006096	glycolytic process	2.27E-02	g:Profiler	BP	PGK2	All (Up vs. Down)
GO:0047676	arachidonate-CoA ligase activity	2.27E-02	g:Profiler	MF	ACSL4	All (Up vs. Down)
GO:0042470	melanosome	2.26E-02	STRING	CC	CTSD	All (Up vs. Down)
GO:0042470	melanosome	2.26E-02	STRING	CC	RAN	All (Up vs. Down)
GO:0042470	melanosome	2.26E-02	STRING	CC	RPN1	All (Up vs. Down)
GO:0005681	spliceosomal complex	2.25E-02	BiNGO	CC	HNRNPH1	All (Up vs. Down)
GO:0005681	spliceosomal complex	2.25E-02	BiNGO	CC	HNRNPF	All (Up vs. Down)
GO:0005681	spliceosomal complex	2.25E-02	BiNGO	CC	HNRNPA1	All (Up vs. Down)
GO:0005681	spliceosomal complex	2.25E-02	BiNGO	CC	RBMX	All (Up vs. Down)
GO:0003697	single-stranded DNA binding	2.25E-02	g:Profiler	MF	HMGB1	All (Up vs. Down)
GO:0003697	single-stranded DNA binding	2.25E-02	g:Profiler	MF	HNRNPA1	All (Up vs. Down)
GO:0046982	protein heterodimerization activity	2.25E-02	g:Profiler	MF	YWHAE	All (Up vs. Down)
GO:0046982	protein heterodimerization activity	2.25E-02	g:Profiler	MF	KRT1	All (Up vs. Down)
GO:0046982	protein heterodimerization activity	2.25E-02	g:Profiler	MF	RALGAPB	All (Up vs. Down)
GO:0001101	response to acid chemical	2.24E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0001101	response to acid chemical	2.24E-02	g:Profiler	BP	XRCC5	All (Up vs. Down)
GO:0001101	response to acid chemical	2.24E-02	g:Profiler	BP	CD9	All (Up vs. Down)
GO:0051817	modification of morphology or physiology of other organism involved in symbiotic interaction	2.24E-02	g:Profiler	BP	HMGA2	All (Up vs. Down)
GO:0051817	modification of morphology or physiology of other organism involved in symbiotic interaction	2.24E-02	g:Profiler	BP	PSMC3	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	GPI	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	RAB5C	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	CAND1	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	PSMC3	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	PSMA2	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	XRCC5	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	IMPDH2	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	KRT1	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	CCT8	All (Up vs. Down)
GO:0002274	myeloid leukocyte activation	2.23E-02	PANTHER	BP	HMGB1	All (Up vs. Down)
GO:0071541	"eukaryotic translation initiation factor 3 complex, eIF3m"	2.23E-02	g:Profiler	CC	EIF3B	All (Up vs. Down)
GO:0030056	hemidesmosome	2.23E-02	g:Profiler	CC	EPPK1	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	PSMA2	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	KRT1	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	CAND1	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	CCT8	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	RAB5C	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	IMPDH2	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	HMGB1	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	XRCC5	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	PSMC3	All (Up vs. Down)
GO:0036230	granulocyte activation	2.23E-02	GO::TermFinder	BP	GPI	All (Up vs. Down)
GO:0032279	asymmetric synapse	2.23E-02	g:Profiler	CC	RPS19	All (Up vs. Down)
GO:0032279	asymmetric synapse	2.23E-02	g:Profiler	CC	RPL10A	All (Up vs. Down)
GO:0032279	asymmetric synapse	2.23E-02	g:Profiler	CC	AKAP9	All (Up vs. Down)
GO:0002181	cytoplasmic translation	2.21E-02	STRING	BP	RPL10A	All (Up vs. Down)
GO:0002181	cytoplasmic translation	2.21E-02	STRING	BP	RPL36A	All (Up vs. Down)
GO:0002181	cytoplasmic translation	2.21E-02	STRING	BP	RPS28	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	AHCY	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	CAND1	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	CCT8	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	GPI	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	HMGB1	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	IMPDH2	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	KRT1	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	PSMA2	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	PSMC3	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	RAB5C	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	RPS19	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	TNFRSF10A	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	TRIM28	All (Up vs. Down)
GO:0006955	immune response	2.21E-02	STRING	BP	XRCC5	All (Up vs. Down)
GO:0043279	response to alkaloid	2.21E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0043279	response to alkaloid	2.21E-02	g:Profiler	BP	GOT2	All (Up vs. Down)
GO:0046822	regulation of nucleocytoplasmic transport	2.21E-02	g:Profiler	BP	YWHAE	All (Up vs. Down)
GO:0046822	regulation of nucleocytoplasmic transport	2.21E-02	g:Profiler	BP	TRIM28	All (Up vs. Down)
GO:0005654	nucleoplasm	4.23E-02	GENECODIS	CC	DDX39A	All (Up vs. Down)
GO:0005654	nucleoplasm	4.23E-02	GENECODIS	CC	TRIM28	All (Up vs. Down)
GO:0005654	nucleoplasm	4.23E-02	GENECODIS	CC	HMGA2	All (Up vs. Down)
GO:0005654	nucleoplasm	4.23E-02	GENECODIS	CC	XRCC5	All (Up vs. Down)
GO:0045294	alpha-catenin binding	2.20E-02	GOstat	MF	VCL	All (Up vs. Down)
GO:0046794	transport of virus	2.20E-02	STRING	BP	CAV1	All (Up vs. Down)
GO:0046794	transport of virus	2.20E-02	STRING	BP	RAN	All (Up vs. Down)
GO:0010941	regulation of cell death	2.20E-02	g:Profiler	BP	CTSD	All (Up vs. Down)
GO:0010941	regulation of cell death	2.20E-02	g:Profiler	BP	SFPQ	All (Up vs. Down)
GO:0010941	regulation of cell death	2.20E-02	g:Profiler	BP	RPS3A	All (Up vs. Down)
GO:0010941	regulation of cell death	2.20E-02	g:Profiler	BP	TCP1	All (Up vs. Down)
GO:0010941	regulation of cell death	2.20E-02	g:Profiler	BP	YWHAG	All (Up vs. Down)
GO:0010941	regulation of cell death	2.20E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:0001952	regulation of cell-matrix adhesion	2.20E-02	g:Profiler	BP	VCL	All (Up vs. Down)
GO:0001952	regulation of cell-matrix adhesion	2.20E-02	g:Profiler	BP	S100A10	All (Up vs. Down)
GO:1903409	reactive oxygen species biosynthetic process	2.20E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:1903409	reactive oxygen species biosynthetic process	2.20E-02	g:Profiler	BP	KHSRP	All (Up vs. Down)
GO:0005654	nucleoplasm	4.23E-02	GENECODIS	CC	ACTB	All (Up vs. Down)
GO:0005654	nucleoplasm	4.23E-02	GENECODIS	CC	RPS28	All (Up vs. Down)
GO:0005654	nucleoplasm	4.23E-02	GENECODIS	CC	RPS19	All (Up vs. Down)
GO:0010008	endosome membrane	2.19E-02	g:Profiler	CC	CTSD	All (Up vs. Down)
GO:0010008	endosome membrane	2.19E-02	g:Profiler	CC	UBA1	All (Up vs. Down)
GO:0010008	endosome membrane	2.19E-02	g:Profiler	CC	CAV1	All (Up vs. Down)
GO:0010046	response to mycotoxin	2.18E-02	g:Profiler	BP	ACTB	All (Up vs. Down)
GO:0002536	respiratory burst involved in inflammatory response	2.18E-02	g:Profiler	BP	RPS19	All (Up vs. Down)
GO:0007000	nucleolus organization	2.18E-02	g:Profiler	BP	RPS19	All (Up vs. Down)
GO:0071475	cellular hyperosmotic salinity response	2.18E-02	g:Profiler	BP	XRCC5	All (Up vs. Down)
GO:0038089	positive regulation of cell migration by vascular endothelial growth factor signaling pathway	2.18E-02	g:Profiler	BP	HSPB1	All (Up vs. Down)
GO:1902075	cellular response to salt	2.18E-02	g:Profiler	BP	HNRNPA1	All (Up vs. Down)
GO:0033353	S-adenosylmethionine cycle	2.18E-02	g:Profiler	BP	AHCY	All (Up vs. Down)
GO:0021578	hindbrain maturation	2.18E-02	g:Profiler	BP	ARCN1	All (Up vs. Down)
GO:2001033	negative regulation of double-strand break repair via nonhomologous end joining	2.18E-02	g:Profiler	BP	HMGA2	All (Up vs. Down)
GO:0009438	methylglyoxal metabolic process	2.18E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0060136	embryonic process involved in female pregnancy	2.18E-02	g:Profiler	BP	ACSL4	All (Up vs. Down)
GO:0060028	convergent extension involved in axis elongation	2.18E-02	g:Profiler	BP	TRIM28	All (Up vs. Down)
GO:0045110	intermediate filament bundle assembly	2.18E-02	g:Profiler	BP	EPPK1	All (Up vs. Down)
GO:0030218	erythrocyte differentiation	2.18E-02	g:Profiler	BP	HSPA9	All (Up vs. Down)
GO:0030218	erythrocyte differentiation	2.18E-02	g:Profiler	BP	RPS19	All (Up vs. Down)
GO:0030913	paranodal junction assembly	2.18E-02	g:Profiler	BP	CD9	All (Up vs. Down)
GO:1904429	regulation of t-circle formation	2.18E-02	g:Profiler	BP	XRCC5	All (Up vs. Down)
GO:0010633	negative regulation of epithelial cell migration	2.18E-02	g:Profiler	BP	EPPK1	All (Up vs. Down)
GO:0010633	negative regulation of epithelial cell migration	2.18E-02	g:Profiler	BP	HMGB1	All (Up vs. Down)
GO:0014069	postsynaptic density	2.18E-02	g:Profiler	CC	RPS19	All (Up vs. Down)
GO:0014069	postsynaptic density	2.18E-02	g:Profiler	CC	RPL10A	All (Up vs. Down)
GO:0014069	postsynaptic density	2.18E-02	g:Profiler	CC	AKAP9	All (Up vs. Down)
GO:0031492	nucleosomal DNA binding	2.18E-02	GO::TermFinder	MF	HIST1H1T	All (Up vs. Down)
GO:0031492	nucleosomal DNA binding	2.18E-02	GO::TermFinder	MF	HIST1H1B	All (Up vs. Down)
GO:0031492	nucleosomal DNA binding	2.18E-02	GO::TermFinder	MF	HIST1H1E	All (Up vs. Down)
GO:0000904	cell morphogenesis involved in differentiation	2.18E-02	g:Profiler	BP	VCL	All (Up vs. Down)
GO:0000904	cell morphogenesis involved in differentiation	2.18E-02	g:Profiler	BP	RAC2	All (Up vs. Down)
GO:0000904	cell morphogenesis involved in differentiation	2.18E-02	g:Profiler	BP	LAMB1	All (Up vs. Down)
GO:0000904	cell morphogenesis involved in differentiation	2.18E-02	g:Profiler	BP	S100A10	All (Up vs. Down)
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	2.18E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	2.18E-02	g:Profiler	BP	CAV1	All (Up vs. Down)
GO:0002181	cytoplasmic translation	2.17E-02	WebGestalt	BP	RPL17	All (Up vs. Down)
GO:0002181	cytoplasmic translation	2.17E-02	WebGestalt	BP	RPL29	All (Up vs. Down)
GO:0002181	cytoplasmic translation	2.17E-02	WebGestalt	BP	RPL36	All (Up vs. Down)
GO:0002181	cytoplasmic translation	2.17E-02	WebGestalt	BP	RPS26	All (Up vs. Down)
GO:0070820	tertiary granule	2.16E-02	g:Profiler	CC	CTSD	All (Up vs. Down)
GO:0070820	tertiary granule	2.16E-02	g:Profiler	CC	CD59	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPL4	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPN1	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPS3A	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	MRPS5	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	EEF1A1	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPS26	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPS14	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPL27A	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPL36	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	FAU	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPS11	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPL29	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	FARSA	All (Up vs. Down)
GO:0044249	cellular biosynthetic process	2.16E-02	BiNGO	BP	RPL17	All (Up vs. Down)
GO:0003713	transcription coactivator activity	2.16E-02	g:Profiler	MF	HMGB1	All (Up vs. Down)
GO:0003713	transcription coactivator activity	2.16E-02	g:Profiler	MF	HMGA1	All (Up vs. Down)
GO:0003713	transcription coactivator activity	2.16E-02	g:Profiler	MF	TRIM28	All (Up vs. Down)
GO:0005719	nuclear euchromatin	2.16E-02	GO::TermFinder	CC	HIST1H1T	All (Up vs. Down)
GO:0005719	nuclear euchromatin	2.16E-02	GO::TermFinder	CC	HIST1H1B	All (Up vs. Down)
GO:0005719	nuclear euchromatin	2.16E-02	GO::TermFinder	CC	HIST1H1E	All (Up vs. Down)
GO:0043256	laminin complex	2.15E-02	g:Profiler	CC	LAMB1	All (Up vs. Down)
GO:0045898	regulation of RNA polymerase II transcriptional preinitiation complex assembly	2.15E-02	GO::TermFinder	BP	HMGB1	All (Up vs. Down)
GO:0045898	regulation of RNA polymerase II transcriptional preinitiation complex assembly	2.15E-02	GO::TermFinder	BP	CAND1	All (Up vs. Down)
GO:0045898	regulation of RNA polymerase II transcriptional preinitiation complex assembly	2.15E-02	GO::TermFinder	BP	PSMC3	All (Up vs. Down)
GO:0003729	mRNA binding	2.15E-02	GO::TermFinder	MF	ILF3	All (Up vs. Down)
GO:0003729	mRNA binding	2.15E-02	GO::TermFinder	MF	KHSRP	All (Up vs. Down)
GO:0003729	mRNA binding	2.15E-02	GO::TermFinder	MF	RPS3A	All (Up vs. Down)
GO:0003729	mRNA binding	2.15E-02	GO::TermFinder	MF	RPS26	All (Up vs. Down)
GO:0003729	mRNA binding	2.15E-02	GO::TermFinder	MF	NCL	All (Up vs. Down)
GO:0003729	mRNA binding	2.15E-02	GO::TermFinder	MF	RPS14	All (Up vs. Down)
GO:0051149	positive regulation of muscle cell differentiation	2.15E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0051149	positive regulation of muscle cell differentiation	2.15E-02	g:Profiler	BP	EHD2	All (Up vs. Down)
GO:0043266	regulation of potassium ion transport	2.15E-02	g:Profiler	BP	YWHAE	All (Up vs. Down)
GO:0043266	regulation of potassium ion transport	2.15E-02	g:Profiler	BP	AKAP9	All (Up vs. Down)
GO:0032609	interferon-gamma production	2.15E-02	g:Profiler	BP	HMSD	All (Up vs. Down)
GO:0032609	interferon-gamma production	2.15E-02	g:Profiler	BP	HMGB1	All (Up vs. Down)
GO:0002220	innate immune response activating cell surface receptor signaling pathway	2.15E-02	g:Profiler	BP	PSMC3	All (Up vs. Down)
GO:0002220	innate immune response activating cell surface receptor signaling pathway	2.15E-02	g:Profiler	BP	PSMA2	All (Up vs. Down)
GO:0019637	organophosphate metabolic process	2.15E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0019637	organophosphate metabolic process	2.15E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0019637	organophosphate metabolic process	2.15E-02	g:Profiler	BP	ACSL4	All (Up vs. Down)
GO:0019637	organophosphate metabolic process	2.15E-02	g:Profiler	BP	IMPDH2	All (Up vs. Down)
GO:0019637	organophosphate metabolic process	2.15E-02	g:Profiler	BP	PGK2	All (Up vs. Down)
GO:0006897	endocytosis	2.14E-02	g:Profiler	BP	HEATR5A	All (Up vs. Down)
GO:0006897	endocytosis	2.14E-02	g:Profiler	BP	ACTB	All (Up vs. Down)
GO:0006897	endocytosis	2.14E-02	g:Profiler	BP	CD9	All (Up vs. Down)
GO:0006897	endocytosis	2.14E-02	g:Profiler	BP	EHD2	All (Up vs. Down)
GO:0071495	cellular response to endogenous stimulus	2.14E-02	g:Profiler	BP	HNRNPH1	All (Up vs. Down)
GO:0071495	cellular response to endogenous stimulus	2.14E-02	g:Profiler	BP	CAPN2	All (Up vs. Down)
GO:0071495	cellular response to endogenous stimulus	2.14E-02	g:Profiler	BP	ACTB	All (Up vs. Down)
GO:0071495	cellular response to endogenous stimulus	2.14E-02	g:Profiler	BP	HNRNPA1	All (Up vs. Down)
GO:0071495	cellular response to endogenous stimulus	2.14E-02	g:Profiler	BP	HNRNPF	All (Up vs. Down)
GO:0071495	cellular response to endogenous stimulus	2.14E-02	g:Profiler	BP	AKAP9	All (Up vs. Down)
GO:0098862	cluster of actin-based cell projections	2.14E-02	g:Profiler	CC	VCL	All (Up vs. Down)
GO:0098862	cluster of actin-based cell projections	2.14E-02	g:Profiler	CC	PLS1	All (Up vs. Down)
GO:0018995	host cellular component	2.14E-02	PANTHER	CC	HIST1H4A	All (Up vs. Down)
GO:0018995	host cellular component	2.14E-02	PANTHER	CC	HIST1H1T	All (Up vs. Down)
GO:0018995	host cellular component	2.14E-02	PANTHER	CC	HIST1H1E	All (Up vs. Down)
GO:0018995	host cellular component	2.14E-02	PANTHER	CC	RAN	All (Up vs. Down)
GO:0018995	host cellular component	2.14E-02	PANTHER	CC	HIST1H1B	All (Up vs. Down)
GO:0019901	protein kinase binding	2.13E-02	g:Profiler	MF	HSPB1	All (Up vs. Down)
GO:0019901	protein kinase binding	2.13E-02	g:Profiler	MF	RPS19	All (Up vs. Down)
GO:0019901	protein kinase binding	2.13E-02	g:Profiler	MF	ACTB	All (Up vs. Down)
GO:0019901	protein kinase binding	2.13E-02	g:Profiler	MF	FCRL3	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	CAV1	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	EEF1A1	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	FARSA	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	HIST1H1E	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	HSPA4	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	PSMC4	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	RAC2	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	RAN	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	ST13	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	TCP1	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	TUBAL3	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	TUBB6	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	TUBB8	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	UBA1	All (Up vs. Down)
GO:0036094	small molecule binding	2.12E-02	STRING	MF	UBE2I	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	HSPA9	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	XRCC5	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	MDH2	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	GOT2	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	HMGA1	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	ANXA11	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	HMGB1	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	ACTB	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	LMNB1	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	RPS19	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	TRIM28	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	HNRNPH1	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	HNRNPF	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	RPL13	All (Up vs. Down)
GO:0070013	intracellular organelle lumen	2.12E-02	BiNGO	CC	HNRNPA1	All (Up vs. Down)
GO:0031966	mitochondrial membrane	2.12E-02	GOstat	CC	ATP5O	All (Up vs. Down)
GO:0031966	mitochondrial membrane	2.12E-02	GOstat	CC	ACSL4	All (Up vs. Down)
GO:0031966	mitochondrial membrane	2.12E-02	GOstat	CC	GOT2	All (Up vs. Down)
GO:0031966	mitochondrial membrane	2.12E-02	GOstat	CC	MDH2	All (Up vs. Down)
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	2.11E-02	g:Profiler	BP	PSMC4	All (Up vs. Down)
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	2.11E-02	g:Profiler	BP	PSMA5	All (Up vs. Down)
GO:0031936	negative regulation of chromatin silencing	2.11E-02	GO::TermFinder	BP	HIST1H1T	All (Up vs. Down)
GO:0031936	negative regulation of chromatin silencing	2.11E-02	GO::TermFinder	BP	HIST1H1B	All (Up vs. Down)
GO:0031936	negative regulation of chromatin silencing	2.11E-02	GO::TermFinder	BP	HIST1H1E	All (Up vs. Down)
GO:0030666	endocytic vesicle membrane	2.11E-02	g:Profiler	CC	RAC2	All (Up vs. Down)
GO:0030666	endocytic vesicle membrane	2.11E-02	g:Profiler	CC	CAV1	All (Up vs. Down)
GO:0032787	monocarboxylic acid metabolic process	2.10E-02	g:Profiler	BP	GPI	All (Up vs. Down)
GO:0032787	monocarboxylic acid metabolic process	2.10E-02	g:Profiler	BP	ACSL4	All (Up vs. Down)
GO:0032787	monocarboxylic acid metabolic process	2.10E-02	g:Profiler	BP	GOT2	All (Up vs. Down)
